EOM Date,Fund 1,Fund 2,Market Beta,Value,Size,High-Yield Spread,Term Spread,Momentum,Bid-Ask Spread
1-Jul,2.39%,-0.01%,-1.39%,0.27%,-2.04%,-0.65%,2.59%,-0.16%,-2.50%
1-Aug,4.61%,0.47%,-4.95%,2.55%,3.60%,0.21%,1.48%,2.75%,2.50%
1-Sep,0.56%,-1.69%,-8.92%,-0.97%,-4.00%,-7.86%,-0.80%,7.94%,10.45%
1-Oct,-1.33%,-0.82%,1.85%,-4.50%,2.76%,1.00%,3.99%,-3.15%,-15.68%
1-Nov,1.89%,1.51%,5.80%,-3.40%,-0.34%,4.89%,-4.57%,-3.93%,-2.27%
1-Dec,2.39%,0.48%,0.56%,0.24%,2.14%,-0.13%,-1.88%,0.24%,7.50%
2-Jan,2.30%,-1.26%,-3.10%,0.41%,2.37%,-0.58%,1.05%,-0.47%,-8.86%
2-Feb,5.00%,-1.59%,-1.00%,-2.24%,0.55%,-2.19%,0.70%,-1.34%,2.05%
2-Mar,-0.04%,-1.36%,4.24%,4.20%,2.26%,4.56%,-3.36%,-1.30%,6.14%
2-Apr,1.47%,-1.58%,-3.52%,1.33%,4.93%,-0.36%,2.66%,1.25%,-0.23%
2-May,3.09%,0.38%,-0.04%,1.30%,0.08%,-2.42%,-0.06%,-0.11%,-2.27%
2-Jun,-4.63%,-1.45%,-6.20%,-0.63%,0.51%,-9.69%,0.94%,2.90%,0.45%
2-Jul,-8.16%,-2.04%,-8.51%,-2.75%,-1.99%,-5.88%,1.85%,5.39%,-2.95%
2-Aug,0.97%,0.02%,0.00%,0.34%,-0.48%,1.71%,4.00%,0.26%,0.91%
2-Sep,-4.91%,2.35%,-11.13%,-2.16%,2.64%,-4.23%,3.37%,5.13%,2.27%
2-Oct,1.32%,-0.83%,7.28%,-0.86%,-5.26%,0.60%,-3.12%,-2.32%,-4.32%
2-Nov,1.63%,-3.45%,5.25%,3.44%,1.26%,7.45%,-0.76%,-1.38%,6.36%
2-Dec,3.55%,-0.45%,-4.95%,-1.89%,1.95%,-1.36%,3.12%,-0.48%,2.73%
3-Jan,1.25%,-0.28%,-3.12%,1.06%,1.40%,3.69%,-0.32%,-0.60%,-2.73%
3-Feb,-2.41%,0.81%,-1.90%,-1.31%,-0.06%,-0.31%,2.61%,0.35%,-2.73%
3-Mar,-1.53%,-1.21%,-0.56%,-2.40%,0.52%,3.40%,-1.43%,0.64%,1.14%
3-Apr,1.56%,1.81%,8.64%,3.39%,0.43%,5.17%,0.81%,-2.09%,-1.36%
3-May,3.23%,5.66%,5.45%,3.03%,4.17%,-1.98%,5.27%,0.09%,1.82%
3-Jun,3.37%,1.78%,1.56%,0.50%,0.92%,3.40%,-1.70%,0.28%,-1.59%
3-Jul,-0.61%,-1.59%,1.92%,0.09%,2.27%,2.75%,-8.39%,2.45%,-1.59%
